autores,H-index,i-10
"Buccafurri, Francesco",23,55
"Romolo, Celeste",,
"Vu, Tran Hoang",3,5
"Dai, Nghia Hoang Ba",,
"Khanh, Hong Nguyen Thi",2,0
"Quang, Dong Nguyen Vo",,
"Brandão, Ricardo",1,0
"Mahmoud, Chaira",,
"Aouag, Sofiane",,
"Siow, Eugene",4,2
"Tiropanis, Thanassis",19,41
"Hall, Wendy",59,224
"Usman, Muhammad",21,27
"Jan, Mian Ahmad",14,19
"He, Xiangjian",37,115
"Chen, Jinjun",55,154
"Feld, Michael",x,x
"Neβelrath, Robert",x,x
"Schwartz, Tim",x,x
-,x,x
"Iyer, S",,
"Bansod, G V",8,7
"V, P N",,
"Garg, S",,
"Ganesh, A",,
"Safa, M",,
"Roopanjali, M",,
"Sai Sri Harsha, P V K",,
"Anjana Tulasi, D",,
"Bhawiyuga, A",,
"Data, M",,
"Warda, A",,
